"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"D1,D2","2","LED","","","","LED_THT:LED_D3.0mm_FlatTop","~"
"R1,R2","2","R_Small","","","","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","~"
